Open Time,Order,Symbol_order,Type_order,Volume_order,Price_order,S / L,T / P,Time_order,State,Comment_order,Time_deal,Deal,Symbol_deal,Type_deal,Direction,Volume_deal,Price_deal,Commission,Swap,Profit,Balance,Comment_deal
2025.06.27 00:06:08,551.0,XAUUSDc,sell,5.57 / 5.57,0.0,3316.969,3306.826,2025.06.27 00:06:08,filled,Range Breakout Sell,2025.06.27 00:06:08,546.0,XAUUSDc,sell,in,5.57,3315.266,0,0.0,0.0,209.43,Range Breakout Sell
2025.06.27 00:08:27,552.0,XAUUSDc,buy,5.57 / 5.57,0.0,,,2025.06.27 00:08:27,filled,sl 3316.969,2025.06.27 00:08:27,547.0,XAUUSDc,buy,out,5.57,3316.985,0,0.0,-9.57,199.86,sl 3316.969
2025.06.30 01:27:12,553.0,XAUUSDc,buy,1.59 / 1.59,0.0,3271.853,3305.72,2025.06.30 01:27:12,filled,Range Breakout Buy,2025.06.30 01:27:12,548.0,XAUUSDc,buy,in,1.59,3275.965,0,0.0,0.0,199.86,Range Breakout Buy
2025.06.30 01:36:40,554.0,XAUUSDc,sell,1.59 / 1.59,0.0,,,2025.06.30 01:36:40,filled,sl 3271.853,2025.06.30 01:36:40,549.0,XAUUSDc,sell,out,1.59,3271.829,0,0.0,-6.58,193.28,sl 3271.853
2025.07.01 01:00:09,555.0,XAUUSDc,buy,4.48 / 4.48,0.0,3313.429,3325.066,2025.07.01 01:00:09,filled,Range Breakout Buy,2025.07.01 01:00:09,550.0,XAUUSDc,buy,in,4.48,3314.368,0,0.0,0.0,193.28,Range Breakout Buy
2025.07.01 05:03:37,556.0,XAUUSDc,sell,4.48 / 4.48,0.0,,,2025.07.01 05:03:37,filled,tp 3325.066,2025.07.01 05:03:37,551.0,XAUUSDc,sell,out,4.48,3325.076,0,0.0,47.97,241.25,tp 3325.066
2025.07.02 00:06:01,557.0,XAUUSDc,sell,11.73 / 11.73,0.0,3337.114,3331.561,2025.07.02 00:06:01,filled,Range Breakout Sell,2025.07.02 00:06:01,552.0,XAUUSDc,sell,in,11.73,3336.535,0,0.0,0.0,241.25,Range Breakout Sell
2025.07.02 00:06:17,558.0,XAUUSDc,buy,11.73 / 11.73,0.0,,,2025.07.02 00:06:17,filled,sl 3337.114,2025.07.02 00:06:17,553.0,XAUUSDc,buy,out,11.73,3337.124,0,0.0,-6.91,234.34,sl 3337.114
2025.07.03 00:03:07,559.0,XAUUSDc,sell,2.07 / 2.07,0.0,3349.895,3319.331,2025.07.03 00:03:07,filled,Range Breakout Sell,2025.07.03 00:03:07,554.0,XAUUSDc,sell,in,2.07,3346.043,0,0.0,0.0,234.34,Range Breakout Sell
2025.07.03 02:49:36,560.0,XAUUSDc,buy,2.07 / 2.07,0.0,,,2025.07.03 02:49:36,filled,sl 3349.895,2025.07.03 02:49:36,555.0,XAUUSDc,buy,out,2.07,3349.924,0,0.0,-8.03,226.31,sl 3349.895
2025.07.04 01:21:06,561.0,XAUUSDc,buy,3.46 / 3.46,0.0,3330.332,3347.963,2025.07.04 01:21:06,filled,Range Breakout Buy,2025.07.04 01:21:06,556.0,XAUUSDc,buy,in,3.46,3332.383,0,0.0,0.0,226.31,Range Breakout Buy
