Open Time,Order,Symbol_order,Type_order,Volume_order,Price_order,S / L,T / P,Time_order,State,Comment_order,Time_deal,Deal,Symbol_deal,Type_deal,Direction,Volume_deal,Price_deal,Commission,Swap,Profit,Balance,Comment_deal,Profitable Trade,Unprofitable Trade,rolling_profitable_trade,rolling_unprofitable_trade,rolling_winrate,rolling_gross_profit,rolling_gross_loss,rolling_net,rolling_profit_factor,rolling_balance_drawdown_absolute,rolling_balance_drawdown_maximal,rolling_balance_drawdown_relative,rolling_total_deals,rolling_win_count,rolling_lose_count,rolling_total_trades,rolling_average_profit,rolling_average_loss,rolling_expected_payoff,rolling_LR_correlation,rolling_long_trades_won,rolling_short_trades_won,rolling_largest_profit_trade,rolling_largest_loss_trade,rolling_maximum_consecutive_wins,rolling_maximum_consecutive_loses,rolling_maximal_consecutive_profit,rolling_maximal_consecutive_loss,rolling_average_consecutive_wins,rolling_average_consecutive_loses
2024.06.17 01:20:39,196.0,XAUUSDc,buy,0.68 / 0.68,0.0,,,2024.06.17 01:20:39,filled,sl 2328.918,2024.06.17 01:20:39,191.0,XAUUSDc,buy,out,0.68,2328.932,0,0.0,-1.58,51.05,sl 2328.918,0,1,14,81,0.14736842105263157,145.1,-194.04999999999993,-48.95000000000003,0.7477454264364857,74.57,74.57,74.57,190,14,81,95,10.364285714285714,-2.395679012345678,-0.5152631578947372,-0.5126446392659673,6,8,18.0,-8.74,2.0,19.0,18.0,-41.31,1.2727272727272727,6.75
2024.06.18 00:03:08,197.0,XAUUSDc,buy,1.03 / 1.03,0.0,2320.634,2333.9,2024.06.18 00:03:08,filled,Range Breakout Buy,2024.06.18 00:03:08,192.0,XAUUSDc,buy,in,1.03,2322.547,0,0.0,0.0,51.05,Range Breakout Buy,0,0,14,81,0.14736842105263157,145.1,-194.04999999999993,-48.95000000000003,0.7477454264364857,74.57,74.57,74.57,191,14,81,95,10.364285714285714,-2.395679012345678,-0.5152631578947372,-0.5102496791519614,6,8,18.0,-8.74,2.0,19.0,18.0,-41.31,1.2727272727272727,6.75
2024.06.18 01:17:59,198.0,XAUUSDc,sell,1.03 / 1.03,0.0,,,2024.06.18 01:17:59,filled,sl 2320.634,2024.06.18 01:17:59,193.0,XAUUSDc,sell,out,1.03,2320.629,0,0.0,-1.98,49.07,sl 2320.634,0,1,14,82,0.14583333333333334,145.1,-196.02999999999992,-50.93000000000003,0.7401928276284245,74.57,74.57,74.57,192,14,82,96,10.364285714285714,-2.39060975609756,-0.5305208333333337,-0.5088678518648151,6,8,18.0,-8.74,2.0,19.0,18.0,-41.31,1.2727272727272727,6.833333333333333
2024.06.19 01:48:07,199.0,XAUUSDc,buy,1.91 / 1.91,0.0,2329.483,2336.386,2024.06.19 01:48:07,filled,Range Breakout Buy,2024.06.19 01:48:07,194.0,XAUUSDc,buy,in,1.91,2330.493,0,0.0,0.0,49.07,Range Breakout Buy,0,0,14,82,0.14583333333333334,145.1,-196.02999999999992,-50.93000000000003,0.7401928276284245,74.57,74.57,74.57,193,14,82,96,10.364285714285714,-2.39060975609756,-0.5305208333333337,-0.5074972280307698,6,8,18.0,-8.74,2.0,19.0,18.0,-41.31,1.2727272727272727,6.833333333333333
2024.06.19 02:06:22,200.0,XAUUSDc,sell,1.91 / 1.91,0.0,,,2024.06.19 02:06:22,filled,sl 2329.483,2024.06.19 02:06:22,195.0,XAUUSDc,sell,out,1.91,2329.468,0,0.0,-1.96,47.11,sl 2329.483,0,1,14,83,0.14432989690721648,145.1,-197.98999999999992,-52.89000000000003,0.7328652962270824,74.57,74.57,74.57,194,14,83,97,10.364285714285714,-2.385421686746987,-0.5452577319587631,-0.5070728241774706,6,8,18.0,-8.74,2.0,19.0,18.0,-41.31,1.2727272727272727,6.916666666666667
2024.06.20 01:03:05,201.0,XAUUSDc,buy,0.91 / 0.91,0.0,2329.667,2343.518,2024.06.20 01:03:05,filled,Range Breakout Buy,2024.06.20 01:03:05,196.0,XAUUSDc,buy,in,0.91,2331.385,0,0.0,0.0,47.11,Range Breakout Buy,0,0,14,83,0.14432989690721648,145.1,-197.98999999999992,-52.89000000000003,0.7328652962270824,74.57,74.57,74.57,195,14,83,97,10.364285714285714,-2.385421686746987,-0.5452577319587631,-0.5066442242786846,6,8,18.0,-8.74,2.0,19.0,18.0,-41.31,1.2727272727272727,6.916666666666667
2024.06.20 05:36:23,202.0,XAUUSDc,sell,0.91 / 0.91,0.0,,,2024.06.20 05:36:23,filled,tp 2343.518,2024.06.20 05:36:23,197.0,XAUUSDc,sell,out,0.91,2343.524,0,0.0,11.05,58.16,tp 2343.518,1,0,15,83,0.15306122448979592,156.15,-197.98999999999992,-41.84000000000003,0.7886761957674633,74.57,74.57,74.57,196,15,83,98,10.41,-2.385421686746987,-0.4269387755102044,-0.5004952563281237,6,9,18.0,-8.74,2.0,19.0,18.0,-41.31,1.25,6.916666666666667
2024.06.21 00:03:09,203.0,XAUUSDc,buy,2.48 / 2.48,0.0,2360.764,2367.073,2024.06.21 00:03:09,filled,Range Breakout Buy,2024.06.21 00:03:09,198.0,XAUUSDc,buy,in,2.48,2361.585,0,0.0,0.0,58.16,Range Breakout Buy,0,0,15,83,0.15306122448979592,156.15,-197.98999999999992,-41.84000000000003,0.7886761957674633,74.57,74.57,74.57,197,15,83,98,10.41,-2.385421686746987,-0.4269387755102044,-0.49443151749172604,6,9,18.0,-8.74,2.0,19.0,18.0,-41.31,1.25,6.916666666666667
2024.06.21 01:15:27,204.0,XAUUSDc,sell,2.48 / 2.48,0.0,,,2024.06.21 01:15:27,filled,sl 2360.764,2024.06.21 01:15:27,199.0,XAUUSDc,sell,out,2.48,2360.753,0,0.0,-2.06,56.1,sl 2360.764,0,1,15,84,0.15151515151515152,156.15,-200.04999999999993,-43.900000000000034,0.7805548612846791,74.57,74.57,74.57,198,15,84,99,10.41,-2.3815476190476184,-0.4434343434343438,-0.48959503570679547,6,9,18.0,-8.74,2.0,19.0,18.0,-41.31,1.25,6.461538461538462
2024.06.24 01:09:06,205.0,XAUUSDc,buy,0.8 / 0.8,0.0,2321.142,2340.069,2024.06.24 01:09:06,filled,Range Breakout Buy,2024.06.24 01:09:06,200.0,XAUUSDc,buy,in,0.8,2323.221,0,0.0,0.0,56.1,Range Breakout Buy,0,0,15,84,0.15151515151515152,156.15,-200.04999999999993,-43.900000000000034,0.7805548612846791,74.57,74.57,74.57,199,15,84,99,10.41,-2.3815476190476184,-0.4434343434343438,-0.4848222592349433,6,9,18.0,-8.74,2.0,19.0,18.0,-41.31,1.25,6.461538461538462
